CAMID,file_url,hybrid_stat,split,zenodo_link,md5,subspecies,parent_subspecies_1,parent_subspecies_2,filename
CAM017821,https://zenodo.org/record/1748277/files/CAM017821_v_whitestandard.JPG,hybrid,train,https://zenodo.org/record/1748277,ba38c61337e2d720f5f72451387d4a48,,8.0,9.0,CAM017821.jpg
CAM017820,https://zenodo.org/record/1748277/files/CAM017820_v_whitestandard.JPG,hybrid,train,https://zenodo.org/record/1748277,9a2ff257a0ad17055eae3cc6c279a62b,,8.0,9.0,CAM017820.jpg
CAM017693,https://zenodo.org/record/1748277/files/CAM017693_d_whitestandard.JPG,hybrid,train,https://zenodo.org/record/1748277,c314eec15bb53750bdd68595d95a5e93,,8.0,9.0,CAM017693.jpg
CAM018291,https://zenodo.org/record/2548678/files/CAM018291_v_whitestandard.JPG,non-hybrid,train,https://zenodo.org/record/2548678,e3a7bf83bdb9f11c035873a623a31345,8.0,,,CAM018291.jpg
CAM011430,https://zenodo.org/record/2550097/files/CAM011430_d.JPG,non-hybrid,train,https://zenodo.org/record/2550097,5060c653aea379c72802aa3ef8af32b0,9.0,,,CAM011430.jpg
CAM011408,https://zenodo.org/record/2550097/files/CAM011408_d.JPG,non-hybrid,train,https://zenodo.org/record/2550097,1db1bf0ce98fea78ecfb52397ac8f2ec,9.0,,,CAM011408.jpg
CAM011407,https://zenodo.org/record/2550097/files/CAM011407_d.JPG,non-hybrid,train,https://zenodo.org/record/2550097,5bacf51909968e32d5fe20e7243febac,9.0,,,CAM011407.jpg
CAM011441,https://zenodo.org/record/2550097/files/CAM011441_d.JPG,non-hybrid,train,https://zenodo.org/record/2550097,9c2c09df8f6ed99ad39b15662c41a879,8.0,,,CAM011441.jpg
CAM011442,https://zenodo.org/record/2550097/files/CAM011442_d.JPG,non-hybrid,train,https://zenodo.org/record/2550097,6eb88514ab94d0b92f2ea2231d6078e9,9.0,,,CAM011442.jpg
F995,https://zenodo.org/record/2555086/files/F995_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,ea5de3bd50b3c924222d36f7e376a257,3.0,,,F995.jpg
F992,https://zenodo.org/record/2555086/files/F992_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,5d4bcca2eab6b7d77ba6c3703da0dfc7,3.0,,,F992.jpg
F991,https://zenodo.org/record/2555086/files/F991_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,7f6629ee3996b7647cdfc7dbbde84385,3.0,,,F991.jpg
F911,https://zenodo.org/record/2555086/files/F911_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,d1891b99ed0d0fdaa9813e448e018732,3.0,,,F911.jpg
F984,https://zenodo.org/record/2555086/files/F984_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,040b97b6991532924c71b21e49c86873,3.0,,,F984.jpg
F983,https://zenodo.org/record/2555086/files/F983_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,24dcd415e935559201c6eb2aedf89226,3.0,,,F983.jpg
F998,https://zenodo.org/record/2555086/files/F998_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,f37a4406e698ecc74bf090b091210854,3.0,,,F998.jpg
F979,https://zenodo.org/record/2555086/files/F979_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,d75dfab2518cc630568a30b3e5ff2518,3.0,,,F979.jpg
F978,https://zenodo.org/record/2555086/files/F978_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,0e464680a0187fc77a04bfd75ab7a0f2,3.0,,,F978.jpg
F974,https://zenodo.org/record/2555086/files/F974_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,c15e7717f1a302f954804f3f04c09a22,3.0,,,F974.jpg
F972,https://zenodo.org/record/2555086/files/F972_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,e10b35df971f72cd1cb87c05f43995e0,3.0,,,F972.jpg
F997,https://zenodo.org/record/2555086/files/F997_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,c08189d9efb382c80823d9b4ec7aa56c,3.0,,,F997.jpg
F913,https://zenodo.org/record/2555086/files/F913_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,58ed1746b46820e4425c6f02405098e4,3.0,,,F913.jpg
F967,https://zenodo.org/record/2555086/files/F967_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,a661b350fec280a9dbd971a3d5842c41,3.0,,,F967.jpg
F966,https://zenodo.org/record/2555086/files/F966_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,31c2aa477ed3504c3243538e1453b169,3.0,,,F966.jpg
F914,https://zenodo.org/record/2555086/files/F914_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,43d8494f89b9eb960936cf2eb665d080,3.0,,,F914.jpg
F918,https://zenodo.org/record/2555086/files/F918_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,51d9d176bb238e82a863da3f09b32973,3.0,,,F918.jpg
F920,https://zenodo.org/record/2555086/files/F920_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,b1b7868168875f97e2cbaec488e3a4b9,3.0,,,F920.jpg
F931,https://zenodo.org/record/2555086/files/F931_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,580029f46fd01ab55dbeeb24b99e8321,3.0,,,F931.jpg
F933,https://zenodo.org/record/2555086/files/F933_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,4b0930b1c953cab342f4cf2455887479,3.0,,,F933.jpg
F935,https://zenodo.org/record/2555086/files/F935_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,fdc92e3fa8ca53ac2a0e6870f36ddb6a,3.0,,,F935.jpg
F937,https://zenodo.org/record/2555086/files/F937_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,6f2d4389b6fda9552e6ae2d129810852,3.0,,,F937.jpg
F939,https://zenodo.org/record/2555086/files/F939_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,fa9d8a038245ece9da44c726f0edf6bb,3.0,,,F939.jpg
F948,https://zenodo.org/record/2555086/files/F948_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,b7214d6b1ad601cff2524547b300fe73,3.0,,,F948.jpg
F951,https://zenodo.org/record/2555086/files/F951_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,fa200484859ea6bb3fa8c59bb1f0dff4,3.0,,,F951.jpg
F952,https://zenodo.org/record/2555086/files/F952_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,f98c294eb9c15d7ff5ad9fa37146ebf1,3.0,,,F952.jpg
F963,https://zenodo.org/record/2555086/files/F963_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,01ee2292dfa4bd7de83d068714b2617d,3.0,,,F963.jpg
F999,https://zenodo.org/record/2555086/files/F999_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,467c25e1ca009c58f88d10106242eb42,3.0,,,F999.jpg
F964,https://zenodo.org/record/2555086/files/F964_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,25c3e264dc8755366a5361d70ef63bf3,3.0,,,F964.jpg
F965,https://zenodo.org/record/2555086/files/F965_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,5bf4649bee1c63a2c53872cab0b68ed3,3.0,,,F965.jpg
F968,https://zenodo.org/record/2555086/files/F968_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,01daea5e0e4948ec2a50a55d24f8642b,3.0,,,F968.jpg
F916,https://zenodo.org/record/2555086/files/F916_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,47a364d5d8c18bf42be8bc155624010a,3.0,,,F916.jpg
F828,https://zenodo.org/record/2555086/files/F828_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,affabb38cfdb4bad570e8cbd44c8cb63,3.0,,,F828.jpg
F909,https://zenodo.org/record/2555086/files/F909_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,f03efd6f064560e647a0433e5ae6dd7e,3.0,,,F909.jpg
F637,https://zenodo.org/record/2555086/files/F637_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,28d4cf82db844a95f679349afbbd3b4d,3.0,,,F637.jpg
F640,https://zenodo.org/record/2555086/files/F640_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,7966ba6ef2015efffc18c523a6dddb93,3.0,,,F640.jpg
